iter	RMSE
166	1678.94422
167	1678.420048
168	1677.141431
169	1675.98615
170	1675.020653
171	1674.458998
172	1673.594625
173	1672.730017
174	1671.634863
175	1670.746626
176	1670.069742
177	1668.963293
178	1668.17651
179	1667.568382
180	1666.838904
181	1666.051583
182	1665.664579
183	1665.410343
184	1664.551168
185	1663.815303
186	1663.332851
187	1662.212384
188	1661.480603
189	1660.729882
190	1660.229503
191	1659.705293
192	1658.637985
193	1658.100833
194	1657.600615
195	1656.960666
196	1656.354441
197	1655.845222
198	1655.124458
199	1654.153706
200	1653.699318
201	1652.799822
202	1652.322007
203	1651.930484
204	1651.196364
205	1650.719118
206	1649.952002
207	1649.529417
208	1648.92347
209	1648.244667
210	1647.725376
211	1647.339071
212	1646.783117
213	1645.921494
214	1645.055499
215	1644.526265
216	1643.95421
217	1643.26226
218	1642.914043
219	1642.438392
220	1642.080498
221	1641.114465
222	1640.405419
223	1639.725269
224	1639.237694
225	1638.829264
226	1638.40517
227	1637.940515
228	1637.584139
229	1636.832905
230	1636.068034
231	1635.69465
232	1635.138765
233	1634.536746
234	1634.045228
235	1633.68021
236	1633.056939
237	1632.743155
238	1632.482739
239	1631.907955
240	1631.644225
241	1631.335762
242	1630.987368
243	1630.629036
244	1630.176339
245	1629.813913
246	1629.328959
247	1628.562053
248	1628.26114
249	1627.807391
250	1627.265262
251	1626.449858
252	1626.17302
253	1625.911907
254	1625.287539
255	1624.686897
256	1624.174093
257	1623.765027
258	1623.540697
259	1622.933302
260	1622.241905
261	1621.47085
262	1621.055682
263	1620.774082
264	1620.192246
265	1619.748849
266	1619.247924
267	1618.848405
268	1618.26027
269	1617.645134
270	1617.084797
271	1616.844005
272	1616.531173
273	1616.05607
274	1615.30128
275	1614.842345
276	1614.386088
277	1614.129359
278	1613.796853
279	1613.379166
280	1612.975478
281	1612.531605
282	1612.182345
283	1611.83204
284	1611.555272
285	1611.206636
286	1610.969785
287	1610.397882
288	1610.076471
289	1609.745512
290	1609.363891
291	1609.074637
292	1608.577535
293	1608.277943
294	1607.791298
295	1607.303673
296	1606.814099
297	1606.45389
298	1606.06233
299	1605.718909
300	1605.254706
301	1604.813596
302	1604.328907
303	1604.028366
304	1603.572224
305	1603.166048
306	1602.623414
307	1602.21081
308	1601.713216
309	1601.486916
310	1601.114004
311	1600.711855
312	1600.214656
313	1599.929485
314	1599.652218
315	1599.241217
316	1599.016436
317	1598.412536
318	1598.14762
319	1597.840298
320	1597.519311
321	1597.014569
322	1596.617834
323	1596.429878
324	1596.106605
325	1595.605666
326	1595.373139
327	1594.878888
328	1594.586922
329	1594.33866
330	1593.851831
331	1593.385035
332	1592.861892
333	1592.343607
334	1592.023169
335	1591.599973
336	1591.407208
337	1591.051009
338	1590.704646
339	1590.304185
340	1590.078426
341	1589.473146
342	1589.018493
343	1588.68422
344	1588.288216
345	1587.990126
346	1587.308219
347	1586.994852
348	1586.464707
349	1585.974849
350	1585.776846
351	1585.48625
352	1585.245127
353	1584.732552
354	1584.446888
355	1584.325384
356	1583.981655
357	1583.690995
358	1583.335674
359	1583.037728
360	1582.567528
361	1582.37944
362	1581.811049
363	1581.4363
364	1581.206937
365	1581.032313
366	1580.660755
367	1580.102026
368	1579.711003
369	1579.12833
370	1578.807446
371	1578.346448
372	1578.111397
373	1577.685594
374	1577.183713
375	1576.818785
376	1576.421042
377	1576.223374
378	1575.663322
379	1575.398141
380	1575.042653
381	1574.671936
382	1574.471147
383	1574.325109
384	1574.236842
385	1574.090857
386	1573.940658
387	1573.641851
388	1573.335558
389	1573.009576
390	1572.694496
391	1572.333117
392	1572.028894
393	1571.649029
394	1571.355241
395	1570.990434
396	1570.599973
397	1570.363965
398	1570.086309
399	1569.515488
400	1569.291949
401	1569.026697
402	1568.677686
403	1568.55625
404	1568.392922
405	1568.194264
406	1567.76545
407	1567.481445
408	1567.01597
409	1566.81627
410	1566.456222
411	1566.151572
412	1565.696294
413	1565.43111
414	1564.980057
415	1564.693305
416	1564.340635
417	1564.125653
418	1563.841301
419	1563.445852
420	1563.248289
421	1562.919449
422	1562.645467
423	1562.28346
424	1561.971443
425	1561.744204
426	1561.446506
427	1561.239463
428	1561.060542
429	1560.799328
430	1560.438947
431	1560.312602
432	1560.066194
433	1559.912274
434	1559.558927
435	1559.353429
436	1559.00529
437	1558.725216
438	1558.643067
439	1558.292392
440	1558.000914
441	1557.774427
442	1557.649172
443	1557.310258
444	1556.962964
445	1556.661004
446	1556.453012
447	1556.010077
448	1555.77533
449	1555.410121
450	1555.243933
451	1554.933867
452	1554.499572
453	1554.140416
454	1553.762814
455	1553.428172
456	1553.138329
457	1552.772605
458	1552.585847
459	1552.310784
460	1551.78943
461	1551.584589
462	1551.328314
463	1551.045541
464	1550.793764
465	1550.659409
466	1550.381615
467	1550.125887
468	1549.913401
469	1549.686971
470	1549.429498
471	1549.156454
472	1548.911813
473	1548.580523
474	1548.39861
475	1548.170166
476	1548.001982
477	1547.791754
478	1547.58836
479	1547.429941
480	1547.200588
481	1547.067122
482	1546.768244
483	1546.471451
484	1546.192689
485	1546.092545
486	1545.954409
487	1545.832665
488	1545.559987
489	1545.193355
490	1544.791335
491	1544.629018
492	1544.351527
493	1544.184864
494	1543.851965
495	1543.257145
496	1543.056025
497	1542.873598
498	1542.59796
499	1542.346019
500	1542.082458
501	1541.893722
502	1541.761733
503	1541.601777
504	1541.258064
505	1540.962647
506	1540.661735
507	1540.494031
508	1540.261031
509	1540.081713
510	1539.8618
511	1539.607291
512	1539.280248
513	1539.107796
514	1538.93874
515	1538.74579
516	1538.291609
517	1538.096075
518	1537.904612
519	1537.79529
520	1537.602452
521	1537.435632
522	1537.156151
523	1536.824553
524	1536.596754
525	1536.495355
526	1536.299882
527	1536.0993
528	1535.915438
529	1535.774673
530	1535.619343
531	1535.349291
532	1535.031938
533	1534.978804
534	1534.776368
535	1534.501089
536	1534.352091
537	1534.180911
538	1533.952795
539	1533.598884
540	1533.413194
541	1533.173744
542	1532.795621
543	1532.634193
544	1532.349084
545	1532.143595
546	1531.97547
547	1531.725683
548	1531.465361
549	1531.209448
550	1530.833035
551	1530.65602
552	1530.466742
553	1530.302342
554	1530.141156
555	1529.921419
556	1529.666508
557	1529.429412
558	1529.306389
559	1529.068422
560	1528.916613
561	1528.735598
562	1528.608754
563	1528.400553
564	1528.206761
565	1528.014216
566	1527.846219
567	1527.6428
568	1527.220502
569	1527.064435
570	1526.559021
571	1526.32064
572	1526.199157
573	1525.970715
574	1525.83638
575	1525.551054
576	1525.415944
577	1525.272713
578	1525.082911
579	1524.862395
580	1524.792353
581	1524.619475
582	1524.483002
583	1524.328413
584	1524.204321
585	1523.986377
586	1523.898935
587	1523.744726
588	1523.537871
589	1523.366488
590	1523.171248
591	1523.010652
592	1522.727879
593	1522.497161
594	1522.221908
595	1522.099174
596	1521.892563
597	1521.775587
598	1521.652197
599	1521.511515
600	1521.398692
601	1521.300977
602	1520.99239
603	1520.629458
604	1520.481844
605	1520.274507
606	1520.017124
607	1519.870941
608	1519.715191
609	1519.622749
610	1519.471238
611	1519.342834
612	1519.133031
613	1518.98422
614	1518.85982
615	1518.763012
616	1518.514638
617	1518.377614
618	1518.25521
619	1518.059132
620	1517.801546
621	1517.672609
622	1517.561946
623	1517.286876
624	1517.075675
625	1516.927347
626	1516.829983
627	1516.54013
628	1516.329481
629	1516.179843
630	1516.090562
631	1515.803374
632	1515.536454
633	1515.313859
634	1515.159506
635	1515.042634
636	1514.899364
637	1514.685978
638	1514.623716
639	1514.527271
640	1514.484068
641	1514.337605
642	1514.23691
643	1514.11039
644	1513.996354
645	1513.831713
646	1513.502998
647	1513.378855
648	1513.338096
649	1513.160052
650	1512.968279
651	1512.819752
652	1512.735038
653	1512.450127
654	1512.219763
655	1512.011512
656	1511.774864
657	1511.617508
658	1511.470749
659	1511.126962
660	1510.875595
661	1510.705562
662	1510.516385
663	1510.388596
664	1510.255564
665	1510.136225
666	1509.972062
667	1509.764351
668	1509.663248
669	1509.519516
670	1509.41367
671	1509.236699
672	1509.055885
673	1508.826764
674	1508.709123
675	1508.614368
676	1508.509516
677	1508.378433
678	1508.247954
679	1508.112896
680	1507.950154
681	1507.79571
682	1507.64869
683	1507.521696
684	1507.284065
685	1507.022578
686	1506.798008
687	1506.432547
688	1506.212041
689	1505.967366
690	1505.816689
691	1505.691636
692	1505.598515
693	1505.433867
694	1505.340677
695	1505.251804
696	1505.174476
697	1504.981303
698	1504.834652
699	1504.723304
700	1504.589276
701	1504.503497
702	1504.424794
703	1504.273957
704	1504.235621
705	1504.12019
706	1504.044716
707	1503.920939
708	1503.676887
709	1503.474347
710	1503.322303
711	1503.174085
712	1503.061431
713	1502.992019
714	1502.812572
715	1502.742634
716	1502.447527
717	1502.317829
718	1502.20285
719	1502.151298
720	1502.006906
721	1501.766844
722	1501.579719
723	1501.168992
724	1501.077034
725	1500.946611
726	1500.829181
727	1500.626692
728	1500.477327
729	1500.376256
730	1500.246515
731	1500.065938
732	1499.88188
733	1499.847458
734	1499.744334
735	1499.663268
736	1499.505236
737	1499.368367
738	1499.316559
739	1499.138725
740	1498.981657
741	1498.86036
742	1498.640078
743	1498.557841
744	1498.439671
745	1498.295956
746	1498.199561
747	1498.030117
748	1497.896143
749	1497.792674
750	1497.628976
751	1497.477788
752	1497.317408
753	1497.231552
754	1497.092556
755	1496.89856
756	1496.757361
757	1496.686197
758	1496.464355
759	1496.359047
760	1496.173331
761	1496.069383
762	1495.978896
763	1495.877638
764	1495.746308
765	1495.64339
766	1495.52731
767	1495.411568
768	1495.279828
769	1495.057195
770	1494.840684
771	1494.676587
772	1494.453836
773	1494.335206
774	1494.243162
775	1494.0149
776	1493.849886
777	1493.675285
778	1493.586863
779	1493.497636
780	1493.309789
781	1493.132806
782	1492.958165
783	1492.628302
784	1492.498739
785	1492.272651
786	1492.14222
787	1492.048701
788	1491.893327
789	1491.75419
790	1491.602179
791	1491.488499
792	1491.374897
793	1491.294755
794	1491.186877
795	1491.049722
796	1490.901772
797	1490.849278
798	1490.672587
799	1490.535894
800	1490.334204
801	1490.259147
802	1490.09432
803	1489.932014
804	1489.873614
805	1489.805664
806	1489.607001
807	1489.472132
808	1489.331695
809	1489.15674
810	1488.970421
811	1488.903508
812	1488.703353
813	1488.528061
814	1488.42708
815	1488.251379
816	1488.154248
817	1488.067106
818	1487.982232
819	1487.82876
820	1487.799012
821	1487.656364
822	1487.462119
823	1487.357322
824	1487.293923
825	1487.050435
826	1486.939224
827	1486.844513
828	1486.729307
829	1486.537351
830	1486.271341
831	1486.099909
832	1485.977541
833	1485.803786
834	1485.688828
835	1485.539143
836	1485.475327
837	1485.412362
838	1485.341801
839	1485.215715
840	1484.933181
841	1484.812307
842	1484.665683
843	1484.581917
844	1484.539969
845	1484.239274
846	1484.138512
847	1484.027929
848	1483.847018
849	1483.697181
850	1483.530152
851	1483.461505
852	1483.234162
853	1483.105824
854	1482.979392
855	1482.903962
856	1482.856112
857	1482.67415
858	1482.547312
859	1482.440777
860	1482.391935
861	1482.177343
862	1482.037332
863	1481.965462
864	1481.833193
865	1481.676184
866	1481.556568
867	1481.428114
868	1481.283886
869	1481.204332
870	1481.079815
871	1480.973466
872	1480.863208
873	1480.78886
874	1480.662037
875	1480.562124
876	1480.481005
877	1480.364435
878	1480.206979
879	1479.999633
880	1479.910522
881	1479.812062
882	1479.701776
883	1479.561653
884	1479.453673
885	1479.343951
886	1479.25476
887	1479.145439
888	1478.873976
889	1478.732342
890	1478.602741
891	1478.443427
892	1478.133724
893	1478.047368
894	1477.945076
895	1477.858532
896	1477.750083
897	1477.514279
898	1477.39417
899	1477.252191
900	1477.141735
901	1477.066992
902	1476.793039
903	1476.640674
904	1476.585748
905	1476.473381
906	1476.253724
907	1476.063774
908	1475.889558
909	1475.814207
910	1475.69356
911	1475.484802
912	1475.428155
913	1475.358539
914	1475.261658
915	1475.124601
916	1475.011015
917	1474.925419
918	1474.689274
919	1474.638159
920	1474.552093
921	1474.414024
922	1474.27023
923	1474.120153
924	1474.015011
925	1473.843494
926	1473.756616
927	1473.677231
928	1473.615072
929	1473.488682
930	1473.463623
931	1473.352566
932	1473.245036
933	1473.13121
934	1473.104593
935	1473.027293
936	1472.906551
937	1472.755023
938	1472.584111
939	1472.538767
940	1472.403889
941	1472.342514
942	1472.309138
943	1472.165048
944	1472.056926
945	1471.995953
946	1471.819508
947	1471.613421
948	1471.50183
949	1471.37482
950	1471.203451
951	1471.018479
952	1470.871537
953	1470.695079
954	1470.525468
955	1470.484382
956	1470.451338
957	1470.162725
958	1470.046253
959	1469.979066
960	1469.850381
961	1469.745259
962	1469.667542
963	1469.572817
964	1469.450313
965	1469.374944
966	1469.309628
967	1469.10688
968	1468.92817
969	1468.830113
970	1468.710298
971	1468.551277
972	1468.404967
973	1468.279697
974	1468.112386
975	1468.037218
976	1467.975222
977	1467.899255
978	1467.759412
979	1467.735602
980	1467.658323
981	1467.493241
982	1467.470414
983	1467.393606
984	1467.364477
985	1467.239414
986	1467.142014
987	1467.045501
988	1466.970379
989	1466.794042
990	1466.709827
991	1466.636653
992	1466.527829
993	1466.408706
994	1466.252004
995	1466.156151
996	1466.10684
997	1465.98215
998	1465.892391
999	1465.792174
